2026-04-06 16:59:16, MOVE, v:1, k:fup@pr_jokenpo, mode:DOWN
2026-04-06 17:08:14, MOVE, v:1, k:fup@tv, mode:DOWN
2026-04-06 17:11:17, MOVE, v:1, k:fup@pintando, mode:PICK
2026-04-06 17:11:18, EXEC, v:1, k:fup@pintando, mode:FULL, size:27, fail:COMP
2026-04-06 17:11:19, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:20, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:20, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:20, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:20, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:21, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:21, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:21, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:21, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:21, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:27, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:29, MOVE, v:1, k:fup@pintando, mode:BACK
2026-04-06 17:11:33, MOVE, v:1, k:fup@pintando, mode:PICK
2026-04-06 17:11:34, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:35, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:36, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:36, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:11:36, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:12:16, EXEC, v:1, k:fup@pintando, mode:FULL, size:27, fail:COMP
2026-04-06 17:12:17, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:12:17, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:13:23, EXEC, v:1, k:fup@pintando, mode:FULL, size:27, fail:COMP
2026-04-06 17:13:24, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:15:10, EXEC, v:1, k:fup@pintando, mode:FULL, size:18, fail:COMP
2026-04-06 17:15:11, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:15:12, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:15:12, EXEC, v:1, k:fup@pintando, mode:FULL, fail:COMP
2026-04-06 17:17:42, EXEC, v:1, k:fup@pintando, mode:FULL, size:18, fail:COMP
2026-04-06 17:17:50, EXEC, v:1, k:fup@pintando, mode:FULL, size:18, fail:COMP
2026-04-06 17:18:02, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0, size:19
2026-04-06 17:18:10, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0, size:20
2026-04-06 17:18:52, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0, size:21
2026-04-06 17:18:54, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:55, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:55, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:55, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:56, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:56, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:56, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:57, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:57, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:57, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:58, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:58, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:58, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:59, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:59, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:18:59, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:00, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:00, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:00, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:00, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:01, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
2026-04-06 17:19:01, EXEC, v:1, k:fup@pintando, mode:FULL, rate:0
